"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Canada","Americas",1952,68.75,14785584,11367.16112
"2","Canada","Americas",1957,69.96,17010154,12489.95006
"3","Canada","Americas",1962,71.3,18985849,13462.48555
"4","Canada","Americas",1967,72.13,20819767,16076.58803
"5","Canada","Americas",1972,72.88,22284500,18970.57086
"6","Canada","Americas",1977,74.21,23796400,22090.88306
"7","Canada","Americas",1982,75.76,25201900,22898.79214
"8","Canada","Americas",1987,76.86,26549700,26626.51503
"9","Canada","Americas",1992,77.95,28523502,26342.88426
"10","Canada","Americas",1997,78.61,30305843,28954.92589
"11","Canada","Americas",2002,79.77,31902268,33328.96507
"12","Canada","Americas",2007,80.653,33390141,36319.23501
"13","Egypt","Africa",1952,41.893,22223309,1418.822445
"14","Egypt","Africa",1957,44.444,25009741,1458.915272
"15","Egypt","Africa",1962,46.992,28173309,1693.335853
"16","Egypt","Africa",1967,49.293,31681188,1814.880728
"17","Egypt","Africa",1972,51.137,34807417,2024.008147
"18","Egypt","Africa",1977,53.319,38783863,2785.493582
"19","Egypt","Africa",1982,56.006,45681811,3503.729636
"20","Egypt","Africa",1987,59.797,52799062,3885.46071
"21","Egypt","Africa",1992,63.674,59402198,3794.755195
"22","Egypt","Africa",1997,67.217,66134291,4173.181797
"23","Egypt","Africa",2002,69.806,73312559,4754.604414
"24","Egypt","Africa",2007,71.338,80264543,5581.180998
